algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,status,hyper_params_id,repetition,hyper_params,train_main_time,train_preprocess_time,train_postprocess_time,execute_main_time,execute_preprocess_time,execute_postprocess_time,ROC_AUC,RANGE_PR_AUC,BestF1Score,FalseNegativeRate,PR_AUC,result_path,BestF1MinusFNR
DenoisingAutoEncoder (DAE),OBSEA,2023-02-05,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",27.089263439178467,,,17.77574849128723,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_18_53_53/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2023-02-24,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4612c4e06ea4131330882ffd0a43444a,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",33.00672125816345,,,14.315739870071411,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_19_20_05/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2023-02-26,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",23.01308488845825,,,14.029745817184448,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_19_20_05/results.csv,
HBOS,OBSEA,2023-03-11_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,20.706946849823,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_19_20_18/results.csv,
AutoEncoder (AE),OBSEA,2023-04-22,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",38.44814205169678,,,16.57832360267639,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_22_15_44/results.csv,
AutoEncoder (AE),OBSEA,2023-05-05,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",25.8136842250824,,,10.858493089675903,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_22_49_02/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2023-03-30,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",32.809791803359985,,,12.581909656524658,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_19_49_04/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2023-09-26,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",25.917256355285645,,,14.937253952026367,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_23_40_26/results.csv,
AutoEncoder (AE),OBSEA,2023-01-05,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",20.82796740531921,,,9.425352573394775,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_18_25_27/results.csv,
CBLOF,OBSEA,2023-10-02_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,29.85547137260437,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_22_36_44/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2023-03-26,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",20.59684133529663,,,16.924403429031372,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_19_49_04/results.csv,
RobustPCA,OBSEA,2023-04-25,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},202.9386458396912,,,15.60723638534546,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_22_28_12/results.csv,
AutoEncoder (AE),OBSEA,2023-04-29,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dc234b17555e618106e747494bd37087,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",39.944886922836304,,,13.791898250579834,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_22_41_04/results.csv,
PCC,OBSEA,2023-05-05_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",,,,14.73604679107666,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_20_15_23/results.csv,
RobustPCA,OBSEA,2023-03-13,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},177.9433035850525,,,19.042916536331177,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_20_37_13/results.csv,
COPOD,OBSEA,2023-03-15_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,18.799834489822388,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_19_24_19/results.csv,
CBLOF,OBSEA,2023-05-06_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,22.544018745422363,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_20_16_27/results.csv,
LOF,OBSEA,2023-03-23_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,12.251303434371948,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_19_32_20/results.csv,
HBOS,OBSEA,2023-03-15_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,16.9713351726532,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_19_24_19/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2023-05-06,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4612c4e06ea4131330882ffd0a43444a,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",28.668348789215088,,,16.134987592697144,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_20_31_13/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2023-04-29,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",33.90929818153381,,,18.36455559730529,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_20_31_12/results.csv,
HBOS,OBSEA,2023-03-23_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,16.88513493537903,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_19_32_20/results.csv,
COPOD,OBSEA,2023-02-15_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,13.315334558486938,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_19_03_17/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-08-07,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",18.33678293228149,,,8.533979177474976,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2023-11-02,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",16.267635345458984,,,10.669814348220823,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_11_00_26_20/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-08-13,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4612c4e06ea4131330882ffd0a43444a,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",16.36801838874817,,,8.277641296386719,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-08-06,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",19.7880961894989,,,8.344361543655396,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
PCC,OBSEA,2023-04-21_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",,,,11.031733512878418,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_20_01_22/results.csv,
AutoEncoder (AE),OBSEA,2023-01-26,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",33.17075538635254,,,12.327275276184082,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_19_20_57/results.csv,
AutoEncoder (AE),OBSEA,2023-02-26,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",23.49508023262024,,,13.086059093475342,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_20_17_59/results.csv,
LOF,OBSEA,2023-05-03_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,15.169563055038452,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_20_13_25/results.csv,
PCC,OBSEA,2023-01-22_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",,,,13.288782596588137,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_18_39_12/results.csv,
LOF,OBSEA,2023-06-23_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,24.343769073486328,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_21_04_30/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2023-04-13,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",22.472188711166385,,,14.828129768371582,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_20_13_16/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2023-04-17,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",26.308002471923828,,,11.107409715652466,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_20_13_16/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2023-04-22,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",27.59612369537353,,,12.819339513778688,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_20_12_58/results.csv,
HBOS,OBSEA,2023-05-03_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,12.897006034851074,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_20_13_25/results.csv,
CBLOF,OBSEA,2023-11-01_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,25.92348837852478,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_23_06_47/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-07-23,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4612c4e06ea4131330882ffd0a43444a,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",13.293175220489502,,,8.375859498977661,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-03-24,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",18.682692527771,,,8.246446132659912,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2023-02-28,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",21.337373733520508,,,11.962313175201416,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_19_19_29/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-03-23,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",16.19192099571228,,,8.700387477874756,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-03-22,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",18.79879474639893,,,8.758944988250732,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-08-05,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",18.60075736045837,,,8.139009714126587,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-08-02,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",16.21943998336792,,,8.604482889175415,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
AutoEncoder (AE),OBSEA,2023-01-30,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",28.17525148391724,,,10.804229259490969,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_19_19_30/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2023-01-30,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",18.40593338012696,,,10.673781633377075,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_18_52_28/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-08-27,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4612c4e06ea4131330882ffd0a43444a,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",18.05791664123535,,,8.051110982894897,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-09-02,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4612c4e06ea4131330882ffd0a43444a,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",14.938955783843994,,,8.19333815574646,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-08-21,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4612c4e06ea4131330882ffd0a43444a,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",14.757084131240845,,,8.086421489715576,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-08-26,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",16.82414960861206,,,8.325678825378418,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-09-03,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",22.637736797332764,,,8.318857192993164,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-09-11,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",19.0708556175232,,,8.248493909835815,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-09-05,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",14.618647575378418,,,8.269658327102661,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-08-15,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",18.7562038898468,,,8.187068700790405,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
AutoEncoder (AE),OBSEA,2023-01-24,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",26.923662424087524,,,12.178837299346924,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_19_03_08/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2023-02-10,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",20.84949278831482,,,12.680838346481323,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_19_03_08/results.csv,
RobustPCA,OBSEA,2023-05-10,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},204.1707892417908,,,15.127620697021484,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_23_15_11/results.csv,
CBLOF,OBSEA,2023-07-05_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,34.53147029876709,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_21_11_34/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-08-18,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",14.978361129760742,,,8.370139360427856,,,,,0.0,0.0,0.5,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_45/results.csv,
