,LOF
OBSEA/2021-11-28.out,0.31805929919137466
OBSEA/2021-11-29.out,0.2574123989218329
OBSEA/2021-11-30.out,0.2964959568733153
OBSEA/2021-12-01.out,0.27762803234501343
OBSEA/2021-12-02.out,0.29514824797843664
OBSEA/2021-12-03.out,0.3221024258760108
OBSEA/2021-12-04.out,0.28301886792452835
OBSEA/2021-12-05.out,0.2264150943396226
OBSEA/2021-12-06.out,0.18059299191374667
OBSEA/2021-12-07.out,0.2493261455525606
OBSEA/2021-12-08.out,0.29514824797843664
OBSEA/2021-12-09.out,0.2628032345013477
OBSEA/2021-12-10.out,0.28840970350404316
OBSEA/2021-12-11.out,0.22776280323450138
OBSEA/2021-12-12.out,0.32479784366576825
OBSEA/2021-12-13.out,0.3032345013477089
OBSEA/2021-12-14.out,0.24528301886792447
OBSEA/2021-12-15.out,0.25336927223719674
OBSEA/2021-12-16.out,0.4110512129380054
OBSEA/2021-12-17.out,0.33692722371967654
OBSEA/2021-12-18.out,0.24123989218328845
OBSEA/2021-12-19.out,0.019587030486151902
OBSEA/2021-12-20.out,0.23989218328840967
OBSEA/2021-12-21.out,0.23584905660377353
OBSEA/2021-12-22.out,0.2749326145552561
OBSEA/2021-12-23.out,0.2991913746630728
OBSEA/2021-12-24.out,0.6442048517520216
OBSEA/2021-12-25.out,0.6778975741239892
OBSEA/2021-12-26.out,0.6805929919137467
OBSEA/2021-12-27.out,0.715633423180593
OBSEA/2021-12-28.out,0.683288409703504
OBSEA/2021-12-29.out,0.7654986522911051
OBSEA/2021-12-30.out,0.7075471698113207
OBSEA/2021-12-31.out,0.7008086253369272
OBSEA/2022-01-02.out,0.24528301886792447
OBSEA/2022-01-03.out,0.238544474393531
OBSEA/2022-01-04.out,0.25202156334231807
OBSEA/2022-01-05.out,0.25876010781671155
OBSEA/2022-01-06.out,0.26415094339622647
OBSEA/2022-01-07.out,0.2547169811320755
OBSEA/2022-01-08.out,0.2196765498652291
OBSEA/2022-01-09.out,0.31266846361185985
OBSEA/2022-01-10.out,0.37061994609164417
OBSEA/2022-01-11.out,0.30053908355795145
OBSEA/2022-01-12.out,0.12938005390835583
OBSEA/2022-01-13.out,0.12803234501347704
OBSEA/2022-01-14.out,0.32884097035040427
OBSEA/2022-01-15.out,0.2695417789757413
OBSEA/2022-01-16.out,0.25336927223719674
OBSEA/2022-01-17.out,0.28301886792452835
OBSEA/2022-01-18.out,0.2991913746630728
OBSEA/2022-01-19.out,0.29514824797843664
OBSEA/2022-01-20.out,0.3045822102425876
OBSEA/2022-01-21.out,0.29380053908355797
OBSEA/2022-01-22.out,0.24258760107816713
OBSEA/2022-01-23.out,0.21832884097035044
OBSEA/2022-01-24.out,0.22911051212938005
OBSEA/2022-01-25.out,0.261455525606469
OBSEA/2022-01-26.out,0.2870619946091644
