,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31
2020-06-24.out.33,8.0,1.1132509,0.7949554,0.8707401,0.8176908,0.7722201,0.7343277,0.6964354,0.6585431,0.5676015,0.6282292,0.6585431,0.6130723,0.6358077,0.6358077,0.6282292,0.6358077,0.6888569,0.6282292,0.5903369,0.6130723,0.5827584,0.5600231,0.5524446,0.5221307,0.5676015,0.5069738,0.4842384,0.4160322,0.4084538,0.4690815,0.4690815,0.4084538
2020-06-24.out.34,8.0,0.4387676,0.4463461,0.4084538,0.4236107,0.4236107,0.3478261,0.3402476,0.2417276,0.3099337,0.3023553,0.2871984,0.3932968,0.5979154,0.5069738,0.5221307,0.6585431,0.6888569,0.6585431,0.5979154,0.6130723,0.4160322,0.4690815,0.4311892,0.1962568,0.2796199,0.3023553,0.2871984,0.2796199,0.2114137,0.1886783,0.3099337,0.3781399
2020-06-24.out.35,8.0,0.461503,0.5069738,0.6054938,0.3932968,0.4160322,0.5069738,0.5979154,0.5600231,0.5903369,0.4993953,0.4236107,0.4993953,0.47666,0.5979154,0.3478261,0.3250907,0.3099337,0.2720414,0.2265706,0.1735214,0.3402476,0.2796199,0.3402476,0.3023553,0.3023553,0.362983,0.3554045,0.4160322,0.3023553,0.3554045,0.3932968,0.5221307
2020-06-24.out.36,8.0,0.5145523,0.4311892,0.4539246,0.6054938,0.47666,0.5979154,0.5297092,0.4387676,0.461503,0.3250907,0.3175122,0.362983,0.3478261,0.2568845,0.264463,0.4008753,0.4842384,0.362983,0.4539246,0.3402476,0.4690815,0.5069738,0.47666,0.4842384,-0.8041005,0.362983,0.4008753,0.4539246,0.4008753,0.3099337,0.4236107,0.461503
2020-06-24.out.37,8.0,0.4993953,0.4539246,0.4236107,0.264463,0.2796199,0.2871984,0.3705615,0.362983,0.2947768,0.1810999,0.4008753,0.4539246,0.4842384,0.6206508,0.5145523,0.6130723,0.5221307,0.6737,0.57518,0.6282292,0.6509646,0.5145523,0.5297092,0.4842384,0.6358077,0.6130723,0.7343277,0.6282292,0.5827584,0.57518,0.5600231,0.5827584
2020-06-24.out.38,8.0,0.6358077,0.6130723,0.5903369,0.4463461,0.5676015,0.787377,0.7494847,0.6358077,0.5297092,0.6812785,0.6888569,0.7419062,0.7040139,0.7797985,0.7494847,0.8631616,0.8101124,0.7949554,0.8480047,0.6888569,0.6282292,0.7419062,0.6585431,0.7494847,0.7494847,0.7267493,0.6812785,0.6661216,0.6433862,0.6054938,0.6964354,0.6054938
2020-06-24.out.39,8.0,0.6737,0.5827584,0.6282292,0.5903369,0.6206508,0.6130723,0.6130723,0.6282292,0.6282292,0.6054938,0.6661216,0.6509646,0.6661216,0.5524446,0.5069738,0.6282292,0.6433862,0.5524446,0.5903369,0.6888569,0.6585431,0.57518,0.5827584,0.6130723,0.5979154,0.5524446,0.5221307,0.47666,0.5448661,0.5372877,0.5448661,0.5145523
2020-06-24.out.40,8.0,0.6206508,0.6888569,0.6054938,0.5448661,0.5448661,0.5221307,0.4918169,0.5221307,0.47666,0.5676015,0.6812785,0.8101124,0.8101124,0.7646416,0.7570631,0.7267493,0.7191708,0.7419062,0.7267493,0.7115923,0.5676015,0.5979154,0.5979154,0.5676015,0.5903369,0.5600231,0.4842384,0.3781399,0.3781399,0.4463461,0.5600231,0.5297092
2020-06-24.out.41,8.0,0.6509646,0.5979154,0.6282292,0.6888569,0.1583645,0.052266,0.4311892,0.3326691,0.5297092,0.5903369,0.6888569,0.6964354,0.6964354,0.6206508,0.5524446,0.47666,0.4084538,0.5448661,0.5676015,0.5372877,0.6812785,0.9768386,0.9465247,0.8252693,0.999574,0.9465247,0.9389463,0.9692601,0.8176908,1.0223094,0.9389463,0.8025339
2020-06-24.out.42,8.0,0.6661216,0.8176908,0.7797985,0.8480047,0.885897,0.8631616,0.9465247,0.8555832,0.7797985,0.8783185,0.8707401,1.0602017,1.098094,0.9919955,1.0298878,0.9465247,0.9768386,0.8252693,0.8555832,0.8707401,0.787377,0.8328478,0.9162109,0.9010539,0.8025339,0.7570631,0.6509646,0.6206508,0.6130723,0.7040139,0.7115923,0.7646416
2020-06-24.out.43,8.0,0.8176908,0.8101124,0.9616817,0.9237893,0.8555832,0.8707401,0.9010539,0.8328478,0.8555832,0.7722201,0.787377,0.6964354,0.7115923,0.7267493,0.7115923,0.6888569,0.7040139,0.6585431,0.6964354,0.8176908,0.7570631,0.8480047,1.098094,1.1663002,1.098094,0.9465247,1.1208294,1.3709187,1.3027125,1.1435648,1.196614,1.0147309
2020-06-24.out.44,8.0,1.1663002,1.211771,1.3330264,1.1208294,1.1435648,1.0374663,0.9692601,0.9162109,0.999574,1.0526232,0.885897,0.7419062,0.787377,1.2193494,1.0677801,1.0526232,0.999574,0.9919955,0.9919955,1.0753586,0.9919955,0.999574,0.9541032,0.9768386,0.9389463,1.0147309,0.9313678,0.984417,0.9541032,0.9162109,1.0374663,0.8934755
2020-06-24.out.45,8.0,0.9237893,1.1284079,1.0071524,1.0753586,0.999574,0.984417,1.0147309,1.0147309,0.9616817,1.0374663,1.0071524,1.0526232,1.0298878,1.0223094,0.9919955,0.9919955,0.9237893,1.0071524,0.9692601,0.9389463,0.9616817,0.9389463,0.9010539,0.9086324,0.9313678,0.9692601,0.999574,1.0602017,1.0829371,1.0677801,0.9465247,0.9465247
2020-06-24.out.46,8.0,0.9919955,0.9692601,0.9541032,0.9162109,0.8404262,0.7797985,0.8934755,0.9616817,0.9692601,0.9465247,1.0223094,1.1890356,1.1132509,1.0071524,1.0526232,1.0298878,0.9010539,0.8707401,0.8934755,0.9237893,0.9692601,1.0071524,1.0829371,1.0753586,1.098094,1.0753586,0.9616817,0.984417,0.9541032,0.9692601,1.0829371,0.984417
2020-06-24.out.47,8.0,0.8631616,0.8934755,0.9692601,0.9389463,0.9616817,1.0071524,0.9616817,0.9768386,0.9541032,0.9313678,1.0374663,0.999574,1.0905155,1.0374663,1.0753586,1.0298878,1.0071524,1.0450448,1.0374663,0.9692601,0.9541032,0.8934755,0.8934755,0.8707401,0.8404262,0.885897,0.8631616,0.8555832,0.8631616,0.8480047,0.8252693,0.7646416
