,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15
2020-04-24.out.65,3.0,0.6196395,0.6221999,0.6220911,0.6239238,0.6267597,0.6299559,0.6309879,0.6374416,0.6329567,0.6337625,0.6378649,0.6404729,0.6414266,0.6465779,0.654303,0.6545903
2020-04-24.out.66,3.0,0.6659687,0.6691036,0.6759971,0.6811787,0.6826151,0.6881451,0.6881281,0.6921298,0.6965055,0.7010817,0.699358,0.7044476,0.7084441,0.6517121,0.6395191,0.6621981
2020-04-24.out.67,3.0,0.6713459,0.6783737,0.6711674,0.6745606,0.6751488,0.6792237,0.6847231,0.6838306,0.6845888,0.6845888,0.6848761,0.6827733,0.6855289,0.6852552,0.6888914,0.6835926
2020-04-24.out.68,3.0,0.688713,0.6854082,0.6857261,0.686758,0.6881078,0.6881078,0.6886653,0.6924835,0.6906067,0.6909382,0.6916352,0.6950742,0.6936071,0.6947869,0.6957235,0.697347
2020-04-24.out.69,3.0,0.6970427,0.6954362,0.6970427,0.7034038,0.7023107,0.6993767,0.7004833,0.7048148,0.7040311,0.7049983,0.7069362,0.7041977,0.7119391,0.7069533,0.7083301,0.7080293
2020-04-24.out.70,3.0,0.7114376,0.7168891,0.7141948,0.715723,0.5666996,0.612135,0.6735831,0.7167719,0.7218884,0.7275523,0.739582,0.7392046,0.7388868,0.7387644,0.7389174,0.7382816
2020-04-24.out.71,3.0,0.745278,0.790839,0.7196939,0.7268911,0.7327827,0.7334184,0.7320858,0.7380504,-0.118375,-0.7576869,-0.8864363,-0.8576708,-0.8129975,-0.7957041,-0.7802748,-0.7704796
2020-04-24.out.72,3.0,-0.7604751,-0.7400866,-0.7323563,-0.7117802,-0.6833559,-0.6568569,-0.5971563,-0.5662769,-0.516231,-0.4235925,-0.3725768,-0.3354291,-0.2980722,-0.247662,-0.2017846,-0.1658967
2020-04-24.out.73,3.0,-0.1309328,-0.1071952,-0.0912584,-0.0961396,-0.0851659,-0.0826036,-0.0736578,-0.0687154,-0.0498288,-0.0492622,-0.0355427,-0.0240826,-0.0242783,-0.015998,-0.0061015,0.0089668
2020-04-24.out.74,3.0,0.0172164,0.025949,0.0338803,0.0425516,0.0493413,0.0559983,0.0585875,0.0636504,0.0643785,0.0669099,0.0699432,0.0827363,0.0829813,0.0897266,0.0914992,0.0979093
2020-04-24.out.75,3.0,0.0994302,0.1035657,0.1074478,0.1106937,0.1179049,0.1229369,0.0896772,0.1084447,0.1197081,0.1280744,0.1310463,0.1158873,0.1692637,0.2261196,0.2570877,0.2837294
2020-04-24.out.76,3.0,0.2851582,0.3100915,0.3342179,0.3423869,0.3445265,0.348952,0.3566498,0.3604527,0.3672132,0.3653015,0.3769279,0.3795027,0.3875965,0.3908857,0.3943874,0.3950847
2020-04-24.out.77,3.0,0.4023722,0.4059793,0.4060099,0.4045422,0.405998,0.4069997,0.0787981,-0.5178898,-0.3497093,-0.2062985,-0.0712112,-0.0318865,0.0055898,0.0529479,0.0884966,0.0852371
2020-04-24.out.78,3.0,0.1174337,0.1615169,0.2375521,0.2892982,0.2681677,0.3234449,0.3482377,0.3599255,0.3755333,0.3931714,0.4045848,0.4136323,0.4132666,0.4175574,0.4233464,0.4328954
2020-04-24.out.79,3.0,0.4346198,0.4407573,0.4491991,0.4556068,0.3346585,0.464096,0.4914505,0.5056018,0.5231927,0.5353266,0.5373127,0.5507047,0.552269,0.5461325,0.5416027,0.5899184
2020-04-24.out.80,3.0,0.5300827,0.5774147,0.5917342,0.6016108,0.6118103,0.6177507,0.6273089,0.6301396,0.6329431,0.6362006,0.6867206,0.682554,0.6817839,0.6826287,0.686129,0.6863551
2020-04-24.out.81,3.0,0.6885532,0.6890241,0.6894644,0.6926126,0.6926126,0.6965786,0.6971277,0.6990044,0.6935969,0.696157,0.7033069,0.7023397,0.7032457,0.7089404,0.7049133,0.7018875
2020-04-24.out.82,3.0,0.6998595,0.7022426,0.7015832,0.6998714,0.6995671,0.7011123,0.700446,0.7039732,0.7058058,0.7081874,0.6994923,0.7027017,0.7011123,0.7051088,0.7032321,0.7012466
2020-04-24.out.83,3.0,0.704247,0.7019742,0.7069549,0.7066676,0.7061713,0.7083046,0.7139075,0.7181181,0.7144702,0.7128077,0.7120325,0.7180926,0.7183017,0.7204401,0.7310846,0.7275897
2020-04-24.out.84,3.0,0.7278158,0.7298012,0.7241968,0.7308279,0.7327692,0.7371886,0.7334355,0.7327657,0.7353427,0.7388868,0.7371886,0.7322082,0.7344944,0.7361008,0.7355262,0.7078525
2020-04-24.out.85,3.0,0.7147574,0.7082741,0.7036979,0.7063056,0.7075295,0.6972314,0.6973062,0.7006415,0.7061101,0.7092277,0.7060931,0.7093501,0.7109395,0.7147439,0.7179838,0.7194202
2020-04-24.out.86,3.0,0.7152708,0.7128808,0.7130032,0.7169078,0.7197687,0.7144396,0.7194814,0.7162721,0.7182405,0.7198469,0.7208481,0.7252371,0.7218765,0.7198775,0.7247408,0.7261295
2020-04-24.out.87,3.0,0.7193029,0.7256468,0.7231344,0.7199522,0.7210011,0.7283462,0.7282985,0.7292556,0.7317203,0.7305712,0.7354344,0.7341154,0.7254989,0.7300222,0.7313277,0.7466106
2020-04-24.out.88,3.0,0.7599725,0.7743436,0.7785402,0.7763459,0.7785402,0.7742824,0.7759328,0.7698156,0.7712825,0.7653012,0.7683743,0.7677692,0.7524698,0.7492742,0.7464883,0.7533316
2020-04-24.out.89,3.0,0.770385,0.7703715,0.7832024,0.7838381,0.7868805,0.7887433,0.7859882,0.78823,0.7848953,0.7846692,0.7887875,0.7900929,0.7918604,0.7765057,0.7609499,0.7608581
2020-04-24.out.90,3.0,0.729672,0.7128434,0.692135,0.6892569,0.6933334,0.693908,0.689789,0.6963934,0.6889577,0.6924716,0.69103,0.6895323,0.6905472,0.6929679,0.6889832,0.6863925
2020-04-24.out.91,3.0,0.6870453,0.6911643,0.6846246,0.6859879,0.6853045,0.687455,0.6894099,0.6887265,0.6906645,0.6916352,0.6939692,0.6846857,0.6837933,0.6899114,0.6920142,0.6945744
2020-04-24.out.92,3.0,0.6969815,0.698406,0.7003609,0.7026032,0.7044186,0.7032695,0.6780014,0.6847724,0.6923134,0.6902718,0.6841672,0.6845634,0.6884953,0.6858961,0.6889832,0.6889697
