,AutoEncoder (AE),DenoisingAutoEncoder (DAE),DeepAnT,Random Black Forest (RR),PCC,HBOS,Torsk,Hybrid KNN,COPOD,RobustPCA
OBSEA/2021-01-06.out,0.4776164062565373,0.0806437068389108,0.4909547043245862,0.3962851573197308,0.3306562795334491,0.0952811648732432,0.6469387030948341,0.0,0.3283078290025628,0.4781997959962682
OBSEA/2021-08-20.out,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1164148617566976,0.0359449934141697,0.1164783446499006
OBSEA/2020-07-21.out,0.0,0.0,0.0328763889692153,0.0,0.0,0.0,0.0844282014097945,0.0206183526431078,0.0,0.0
OBSEA/2021-12-18.out,0.0,0.0606054729166262,0.1690654528885903,0.0,0.0,0.0781572303399462,0.0,0.2249042929152511,0.1336927161048177,0.0606054729166262
OBSEA/2020-10-27.out,0.4306912542582586,0.4188637630283969,0.3632811142679117,0.1515146568488591,0.3587450044890987,0.077933893551038,0.1296908076713387,0.0,0.0,0.348284576480336
OBSEA/2020-01-15.out,0.999995000025,0.999995000025,0.999995000025,0.9421246296546296,0.999995000025,0.999995000025,0.8842542592842593,0.0,0.999995000025,0.999995000025
OBSEA/2022-09-08.out,0.240542751901463,0.0,0.3230321016174183,0.0,0.0,0.1101137709615037,0.0,0.0,0.0,0.0
OBSEA/2021-01-26.out,0.7213787954085796,0.6683577850151022,0.6683577850151022,0.6779964611142486,0.6683577850151022,0.7304126568732527,0.0,0.0,0.6683577850151022,0.6683577850151022
OBSEA/2020-05-29.out,0.0,0.1587286974183412,0.157369281318879,0.058381403453405,0.1568654842702783,0.0183185828548397,0.0,0.1567985549445176,0.1188498542020418,0.0
OBSEA/2022-09-23.out,0.5743438666443669,0.605774684909393,0.5146337074713075,0.0,0.5177658810454426,0.5724380193284826,0.0,0.5171992731507828,0.4655473412864347,0.0
OBSEA/2020-08-06.out,0.0,0.0,0.1077289562545412,0.0,0.3133502464752506,0.3028676100221888,0.2424967126033967,0.0,0.1743645158521926,0.0717084609585155
OBSEA/2022-09-30.out,0.2617946862033409,0.2617946862033409,0.1479930712761312,0.0,0.2630941885030872,0.2207387047348744,0.0,0.0,0.09286445576783,0.2639034510806483
OBSEA/2021-12-03.out,0.0057179416845139,0.0061059618856089,0.0,0.0126362902884422,0.0050831285955033,0.0,0.0,0.010896375037538,0.0050872425856841,0.009462271416361
OBSEA/2022-01-21.out,0.0,0.0219727742175385,0.9144850598023696,0.0,0.0,0.0461914177988326,0.0,0.0220282355628837,0.0,0.0
OBSEA/2020-09-16.out,0.3611503031689877,0.3611503031689877,0.4867513072754472,0.379128747403421,0.1346025097072768,0.3611503031689877,0.3478960841616599,0.0,0.3586636164666939,0.3405367049296754
OBSEA/2020-05-10.out,0.7377601356847535,0.7377601356847535,0.7869566807996226,0.61808557800344,0.7377601356847535,0.6768556131140074,0.5970187124750229,0.0,0.7377601356847535,0.7377601356847535
OBSEA/2020-11-01.out,0.4522872399513342,0.4943763427623931,0.5131088639284045,0.0808870844262797,0.3881229178931478,0.4812719465938682,0.2556138262270243,0.0,0.4309160114324286,0.4943763427623931
OBSEA/2020-10-03.out,0.4361520817035174,0.3894657980251134,0.0,0.4795030663009688,0.0632749472059162,0.4175706239319809,0.0,0.2911367529454653,0.28870056803048,0.2911367529454653
OBSEA/2020-06-07.out,0.0,0.0,0.0942821813845164,0.0,0.0368735851703702,0.3254105872391867,0.3271618676113512,0.2595109974888854,0.1005508496325779,0.0698991189008175
OBSEA/2022-07-29.out,0.1720630658393711,0.1744934946602306,0.2125063588261235,0.0,0.2009561265514605,0.0,0.0,0.0,0.2010608022096403,0.0
OBSEA/2021-12-08.out,0.0,0.0,0.0494831662926144,0.0,0.0263668153553289,0.0,0.0296541689176061,0.0190206612229905,0.0,0.0
